Topic,Count,Name,Representation,Representative_Docs
81,15,81_hadid_bella_gigi_model,"['hadid', 'bella', 'gigi', 'model', 'dior', 'terrorising', 'innocent', 'flak', 'speaks', 'catches']","[""`I cannot be silenced any longer': Model Bella Hadid speaks out on Gaza"", ""Palestinian-American model Gigi Hadid says Israel sees any Palestinian as a `terrorist'"", 'Gigi Hadid, Bella Hadid get death threats for supporting Palestinians']"
82,14,82_oil_prices_crude_jump,"['oil', 'prices', 'crude', 'jump', 'surge', 'shock', 'supply', 'impact', 'global', 'conflict']","['Israel-Palestine Conflict: Oil Shock Looms for India? Experts Predict Knee-Jerk Surge in Crude Prices', 'Israel-Hamas Conflict: Crude oil prices surge over fears of supply cuts', 'Global crude oil prices increase as Israel-Hamas conflict enters third day']"
83,14,83_solution_state_resolve_pm,"['solution', 'state', 'resolve', 'pm', 'way', 'munir', 'referendum', 'congratulates', 'gen', 'kakar']","['China, Russia to work on two-state solution to resolve conflict between Israel and Palestine ', ' The two-state solution ', 'Beyond a two-state solution']"
84,13,84_hostages_relatives_tears_life,"['hostages', 'relatives', 'tears', 'life', 'return', 'family', 'mobilization', 'smiling', 'separation', 'bloodiest']","['Relatives of Israeli hostages disrupt parliament panel, demand immediate action to free captives', ""'We Want Them Alive': Relatives Of Israeli Hostages Break Down Urging Safe Return"", 'Between continuous mobilization and family balance, the double life of the hostages&#8217; relatives']"
85,13,85_aircraft_carrier_navy_warships,"['aircraft', 'carrier', 'navy', 'warships', 'mediterranean', 'closer', 'ford', 'royal', 'gerald', 'ships']","[""Why US Navy&#039;s `finest 5-star aircraft carrier' has been sent to the Mediterranean"", 'British warships, aircraft, and a force of Royal Marines are joining a US Navy carrier strike group in waters near Israel', 'USS Gerald R. Ford: All About US Navy&#x27;s Most Advanced Aircraft Carrier Being Moved Closer To Israel']"
86,13,86_filipinos_philippines_filipino_131,"['filipinos', 'philippines', 'filipino', '131', 'dfa', 'exit', 'egypt', '46', 'repatriating', 'mandatory']","['Philippines forms task force to monitor Filipinos in Israel', 'DFA orders mandatory exit of 131 Filipinos in Gaza Strip', '131 Filipinos in Gaza City move closer to Egypt']"
87,13,87_pause_pauses_hour_humanitarian,"['pause', 'pauses', 'hour', 'humanitarian', 'begin', 'daily', '24', 'overview', 'vacated', 'pitch']","['Israel agrees to four-hour pauses to let people flee Gaza: White House', ""Israel to begin daily four-hour fighting `pauses' in Gaza: US"", 'Israel to begin four-hour pauses in northern Gaza: White House']"
88,13,88_zara_ad_campaign_netizens,"['zara', 'ad', 'campaign', 'netizens', 'misunderstanding', 'controversial', 'brand', 'fashion', 'clothing', 'boycott']","['Zara Faces Public Outrage Over New Ad Campaign', ' Zara apologises for controversial ad campaign ', 'Zara clarifies controversial ad campaign has nothing to do with Gaza']"
89,13,89_resigns_intelligence_guterres_resignation,"['resigns', 'intelligence', 'guterres', 'resignation', 'head', 'antonio', 'remarks', 'chief', 'october', 'envoy']","['Israeli military intelligence head resigns over Oct. 7 failures', ""Israeli military intelligence head resigns, says 'failed to avert October 7 attack by Hamas' "", ""Israeli military intelligence chief resigns over Hamas's Oct 7 assault""]"
90,13,90_funding_unrwa_agency_resume,"['funding', 'unrwa', 'agency', 'resume', 'allegations', 'cuts', 'sweden', 'japan', 'refugees', 'canada']","[' Israel says Canada, Sweden wrong to resume UNRWA funding ', 'US pauses additional funding for UNRWA amid allegations of agency&#8217;s involvement in Hamas attack on Israel', 'Canada, Sweden resume UNRWA funding after pause over terror allegations against staff']"
